Incident ID,Occurrence Time,Report Time,Type,Disposition,Address
2023-00015040,02/14/23 00:21,02/14/23 00:21,DWI/DUI,Arrest,Campus  Dr College Park MD
2023-00015101,02/10/23 07:45,02/14/23 09:11,Suspicious Activity,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00015102,02/14/23 09:00,02/14/23 09:12,Damage to State Property,CBE,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00015111,02/01/23 19:29,02/14/23 10:04,Fraud,Active/Pending,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00015114,02/09/23 09:00,02/14/23 10:30,Suspicious Activity,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00015123,02/09/23 17:00,02/14/23 11:41,Other Incident,CBE,4200 block of  Valley  Dr College Park MD
2023-00015136,02/14/23 13:25,02/14/23 13:34,Suspicious Activity,Unfounded,Yahentamitsi at 4136  Stadium  Dr College Park MD
2023-00015165,02/14/23 18:14,02/14/23 18:14,Injured/Sick Person,CBE,Commons 1  SCC 1  South Campus Commons 1 at 4250  Lehigh  Rd College Park MD
2023-00015185,02/14/23 18:00,02/14/23 19:54,Theft,Investigation Pending,4  Ritchie Coliseum at 7675  Baltimore  Ave College Park MD
2023-00015220,02/14/23 21:00,02/14/23 22:49,Injured/Sick Person,CBE,8000 block of  La Plata  Dr College Park MD
2023-00015275,02/15/23 02:04,02/15/23 02:04,DWI/DUI,Arrest,University  Blvd College Park MD
2023-00015332,02/15/23 01:00,02/15/23 09:25,Theft,Active/Pending,7700 block of  Adelphi  Rd College Park MD
2023-00015378,02/15/23 10:50,02/15/23 13:01,Theft,Investigation Pending,82  John S. Toll Physics Building  Physics  Physics Building at 4150  Campus  Dr College Park MD
2023-00015400,02/11/23 12:45,02/15/23 15:14,Theft,Investigation Pending,9  Chapel  Memorial Chapel at 7744  Regents  Dr College Park MD
2023-00015432,02/15/23 09:15,02/15/23 17:38,Suspicious Activity,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00015436,02/03/23 08:00,02/15/23 17:57,Fraud,Unfounded,Ellicott  Ellicott Hall at 4052  Stadium  Dr College Park MD
2023-00015499,02/15/23 22:15,02/15/23 22:15,Emergency Petition,CBE,Lot 19  Lot U2  MLG  Mowatt Garage  Mowatt Lane Garage  Mowatt Lane Parking Garage  PG5 at 7591  Mowatt  Ln College Park MD
2023-00015616,02/16/23 07:00,02/16/23 07:32,Assist Other Agency / Other,CBE,4000 block of  Stadium  Dr College Park MD
2023-00015633,02/14/23 12:30,02/16/23 08:29,Other Incident,CBE,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00015661,02/16/23 10:00,02/16/23 10:00,Suspicious Activity,CBE,Graduate Hills #286 at 3400  Tulane  Dr College Park MD
2023-00015674,02/16/23 11:15,02/16/23 11:15,Emergency Petition,CBE,Health Center at 3983  Campus  Dr College Park MD
2023-00015679,02/16/23 11:37,02/16/23 11:37,Emergency Petition,CBE,4200 block of  Chapel  Ln College Park MD
2023-00015704,02/16/23 15:55,02/16/23 15:58,Injured/Sick Person,CBE,69  Wicomico  Wicomico Hall at 7218  Preinkert  Dr College Park MD
2023-00015742,02/16/23 19:03,02/16/23 19:03,Assault,CBE,Comcast Center  Xfinity  Xfinity Center at 8500  Paint Branch  Dr College Park MD
2023-00015744,02/16/23 18:00,02/16/23 19:07,Injured/Sick Person,CBE,Comcast Center  Xfinity  Xfinity Center at 8500  Paint Branch  Dr College Park MD
2023-00015770,02/16/23 20:00,02/16/23 22:28,Vandalism,Investigation Pending,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00015832,02/17/23 00:41,02/17/23 00:41,DWI/DUI,Arrest,University  Blvd College Park MD
2023-00015865,02/17/23 03:00,02/17/23 03:00,Weapon Violation,Arrest,University  Blvd College Park MD
2023-00015976,02/16/23 18:00,02/17/23 10:03,Theft,Investigation Pending,4100 block of N Library  Ln College Park MD
2023-00015994,02/15/23 10:30,02/17/23 10:35,Suspicious Activity,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00016079,02/17/23 12:00,02/17/23 16:58,Theft,Investigation Pending,16  Baltimore  Baltimore Hall at 7497  Calvert Service  Ln College Park MD
2023-00016087,02/17/23 17:00,02/17/23 17:16,Injured/Sick Person,CBE,6800 block of  Preinkert  Dr College Park MD
2023-00016127,02/17/23 12:00,02/17/23 19:05,Injured/Sick Person,CBE,6800 block of  Preinkert  Dr College Park MD
2023-00016210,02/17/23 23:00,02/17/23 23:21,Injured/Sick Person,CBE,Baltimore  Ave College Park MD
2023-00016216,02/17/23 23:47,02/17/23 23:47,DWI/DUI,Arrest,Baltimore  Ave College Park MD
2023-00016224,02/18/23 00:25,02/18/23 00:25,Injured/Sick Person,CBE,Johnson-Whittle Hall at 4118  Stadium  Dr College Park MD
2023-00016225,02/17/23 21:00,02/18/23 00:32,Injured/Sick Person,CBE,4200 block of  Lehigh  Rd College Park MD
2023-00016229,02/17/23 21:00,02/18/23 01:00,Injured/Sick Person,CBE,4200 block of  Lehigh  Rd College Park MD
2023-00016231,02/18/23 01:21,02/18/23 01:21,Injured/Sick Person,CBE,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00016232,02/18/23 01:34,02/18/23 01:34,CDS Violation,CBE,68  Eppley  Eppley Recreation Center  ERC at 4128  Valley  Dr College Park MD
2023-00016352,02/13/23 08:00,02/18/23 11:00,Suspicious Activity,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00016386,02/18/23 13:30,02/18/23 13:35,Injured/Sick Person,CBE,HHP  PERH  Public Health  School of Public Health Building  SPH at 4200  Valley  Dr College Park MD
2023-00016405,02/14/23 18:15,02/18/23 15:04,Vandalism,Investigation Pending,38.9827658506793;-76.9333009201224 / Adjacent To L College Park MD
2023-00016419,02/18/23 17:15,02/18/23 17:16,CDS Violation,Active/Pending,Alpha Sigma Phi  Frat 9 at 9  Fraternity  Row College Park MD
2023-00016420,02/18/23 11:00,02/18/23 17:15,Theft,Active/Pending,14  Harford Hall at 7660  Regents  Dr College Park MD
2023-00016491,02/18/23 22:00,02/19/23 00:17,Other Incident,CBE,Commons 3  SCC 3  South Campus Commons 3 at 4318  Knox  Rd College Park MD
2023-00016495,02/19/23 00:59,02/19/23 00:59,Injured/Sick Person,CBE,7  Pocomoke  Pocomoke Building  Police  UMDPS  UMPD at 7569  Baltimore  Ave College Park MD
2023-00016496,02/18/23 19:00,02/19/23 00:43,Injured/Sick Person,CBE,Denton  Denton Hall at 3854  Stadium  Dr College Park MD
2023-00016502,02/19/23 01:48,02/19/23 01:48,Injured/Sick Person,CBE,Jull Hall at 4196  Stadium  Dr College Park MD
2023-00016506,02/18/23 23:00,02/19/23 02:12,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln College Park MD
2023-00016915,02/19/23 23:30,02/20/23 06:48,Other Incident,Unfounded,69  Wicomico  Wicomico Hall at 7218  Preinkert  Dr College Park MD
2023-00017059,02/20/23 12:00,02/20/23 14:55,Assault,Active/Pending,Denton Area Dining Hall  Denton Dining Hall at 3951  Denton Service  Ln College Park MD
2023-00017070,02/17/23 11:30,02/20/23 16:33,Theft,Active/Pending,A.V. Williams Building  AV Williams at 8223  Paint Branch  Dr College Park MD
2023-00017340,02/20/23 15:37,02/21/23 15:02,Trespassing,Arrest,68  Eppley  Eppley Recreation Center  ERC at 4128  Valley  Dr College Park MD
2023-00017363,02/20/23 18:50,02/21/23 16:32,Theft,Investigation Pending,68  Eppley  Eppley Recreation Center  ERC at 4128  Valley  Dr College Park MD
2023-00017403,02/21/23 19:30,02/21/23 19:48,Accident - Departmental,CBE,College Park Shopping Center  CVS at 7300  Baltimore  Ave College Park MD
2023-00017404,02/13/23 11:00,02/21/23 19:55,Threat Assessment,Active/Pending,37  Shoemaker  Shoemaker Building at 4281  Chapel  Ln College Park MD
2023-00017414,02/21/23 21:30,02/21/23 21:40,Injured/Sick Person,CBE,Comcast Center  Xfinity  Xfinity Center at 8500  Paint Branch  Dr College Park MD
2023-00017454,02/22/23 00:44,02/22/23 00:44,DWI/DUI,Arrest,Baltimore  Ave College Park MD
2023-00017459,02/22/23 01:09,02/22/23 01:09,Recovered Stolen Property,CBE,PGUC  UMGC Parking Garage at 347  Ehrensberger  Dr College Park MD
2023-00017546,02/20/23 08:00,02/22/23 07:28,Theft,Unfounded,35  McKeldin Library at 7649  Library  Ln College Park MD
2023-00017560,02/22/23 10:22,02/22/23 10:22,Injured/Sick Person,CBE,8100 block of  La Plata  Dr College Park MD
2023-00017626,02/22/23 11:00,02/22/23 13:04,Theft,Investigation Pending,34  Jimenez  Jimenez Hall at 4125 N Library  Ln College Park MD
2023-00017676,12/23/22 08:00,02/22/23 16:54,Theft,Investigation Pending,3800 block of  Campus  Dr College Park MD
2023-00017701,02/21/23 23:00,02/22/23 17:57,Theft,Investigation Pending,26  South Campus Dining Hall at 7093  Preinkert  Dr College Park MD
2023-00017855,02/22/23 23:47,02/22/23 23:47,Injured/Sick Person,CBE,4400 block of  Lehigh  Rd College Park MD
2023-00017944,02/22/23 08:20,02/23/23 09:02,Other Incident,Active/Pending,Lot 1c College Park MD
2023-00018036,02/23/23 13:40,02/23/23 13:51,Animal Complaint,CBE,McKeldin Mall College Park MD
2023-00018427,02/24/23 10:55,02/24/23 10:55,Emergency Petition,CBE,3900 block of  Campus  Dr College Park MD
2023-00018455,02/24/23 13:05,02/24/23 13:05,Emergency Petition,CBE,4600 block of  Rossborough  Ln College Park MD
2023-00018458,01/11/23 20:56,02/24/23 14:39,Other Incident,Active/Pending,7  Pocomoke  Pocomoke Building  Police  UMDPS  UMPD at 7569  Baltimore  Ave College Park MD
2023-00018480,02/24/23 16:45,02/24/23 16:45,Accident - Departmental,CBE,490 block of  / Baltimore Ave College Park MD
2023-00018616,02/24/23 22:03,02/24/23 22:07,CDS Violation,Active/Pending,4200 block of  Valley  Dr College Park MD
2023-00018633,02/24/23 23:31,02/24/23 23:31,Traffic Arrest,Arrest,Baltimore  Ave College Park MD
2023-00018664,02/25/23 01:30,02/25/23 02:13,Vandalism,Arrest,8000 block of  Hagerstown  Dr College Park MD
2023-00018823,02/24/23 21:52,02/25/23 16:58,Hate Bias Incident,Active/Pending,4200 block of  Farm  Dr College Park MD
2023-00018826,02/25/23 17:20,02/25/23 17:29,Injured/Sick Person,CBE,8100 block of  Paint Branch  Dr College Park MD
2023-00018903,02/26/23 00:20,02/26/23 00:49,Injured/Sick Person,CBE,Alpha Chi Omega  Alpha Chi Omega Sorority at 4525  College  Ave College Park MD
2023-00018911,02/26/23 01:49,02/26/23 02:03,Assault,Active/Pending,3400 block of  Tulane  Dr College Park MD
2023-00018912,02/26/23 02:24,02/26/23 02:24,DWI/DUI,Arrest,Tecumseh  St College Park MD
2023-00018914,02/26/23 03:58,02/26/23 03:58,Injured/Sick Person,CBE,Denton  Denton Hall at 3854  Stadium  Dr College Park MD
2023-00018915,02/26/23 04:22,02/26/23 04:22,DWI/DUI,Arrest,Lot 19  Lot U2  MLG  Mowatt Garage  Mowatt Lane Garage  Mowatt Lane Parking Garage  PG5 at 7591  Mowatt  Ln College Park MD
2023-00018947,02/25/23 16:00,02/26/23 08:48,Stolen Motor Vehicle,Active/Pending,3400 block of  Tulane  Dr College Park MD
2023-00019013,02/26/23 13:55,02/26/23 13:59,Assault,Active/Pending,Comcast Center  Xfinity  Xfinity Center at 8500  Paint Branch  Dr College Park MD
2023-00019017,02/24/23 21:24,02/26/23 14:08,Extortion,Active/Pending,22  Kent  Kent Hall at 7565  Calvert Service  Ln College Park MD
2023-00019026,02/26/23 14:30,02/26/23 14:30,Suspicious Activity,Active/Pending,PGUC  UMGC Parking Garage at 347  Ehrensberger  Dr College Park MD
2023-00019125,02/27/23 01:18,02/27/23 01:18,DWI/DUI,Arrest,Baltimore  Ave College Park MD
2023-00019242,02/27/23 10:38,02/27/23 10:38,Emergency Petition,CBE,3900 block of  Denton Service  Ln College Park MD
2023-00019340,02/24/23 23:30,02/27/23 15:23,Title IX Incident Non Criminal,CBE,4000 block of  Stadium  Dr College Park MD
2023-00019349,02/26/23 18:20,02/27/23 13:33,Theft,Summons Issued,4  Ritchie Coliseum at 7675  Baltimore  Ave College Park MD
2023-00019404,02/27/23 23:04,02/27/23 23:04,CDS Violation,Arrest,4500 block of  College  Ave College Park MD
2023-00019439,02/28/23 01:03,02/28/23 01:03,Check on the  Welfare,CBE,Commons 7  SCC 7  South Campus Commons 7 at 6801  Preinkert  Dr College Park MD
2023-00019476,02/28/23 04:28,02/28/23 04:28,Emergency Petition,CBE,Johnson-Whittle Hall at 4118  Stadium  Dr College Park MD
2023-00019580,02/28/23 10:15,02/28/23 10:29,Theft,Active/Pending,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00019588,02/28/23 11:03,02/28/23 11:03,Injured/Sick Person,CBE,Brendan Iribe Center  Iribe Center at 8125  Paint Branch  Dr College Park MD
2023-00019607,02/24/23 00:00,02/28/23 12:16,Title IX Incident Non Criminal,CBE,7  Pocomoke  Pocomoke Building  Police  UMDPS  UMPD at 7569  Baltimore  Ave College Park MD
2023-00019678,02/28/23 17:44,02/28/23 17:44,CDS Violation,Arrest,University  Blvd College Park MD
2023-00019705,02/28/23 11:00,02/28/23 20:11,Theft,Active/Pending,Hornbake  Hornbake Library at 4130  Campus  Dr College Park MD
2023-00019900,03/01/23 08:04,03/01/23 08:04,Injured/Sick Person,CBE,340 block of  Ehrensberger  Dr College Park MD
2023-00019953,03/01/23 10:58,03/01/23 10:58,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln College Park MD
2023-00019958,03/01/23 11:14,03/01/23 11:14,Suspicious Person/Auto,CBE,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00019960,02/28/23 13:43,03/01/23 11:42,Other Incident,CBE,Paint Branch Building at 4505  Campus  Dr College Park MD
2023-00020002,03/01/23 17:00,03/01/23 17:59,Other Incident,Active/Pending,64  Dorchester  Dorchester Hall at 3947  Campus  Dr College Park MD
2023-00020070,03/01/23 22:40,03/01/23 22:40,Warrant/Summons Service,Arrest,University  Blvd College Park MD
2023-00020294,03/01/23 21:00,03/02/23 16:00,Suspicious Activity,CBE,8200 block of  Baltimore  Ave College Park MD
2023-00020301,03/02/23 16:34,03/02/23 17:45,Emergency Petition,CBE,4800 block of  Harvard  Rd College Park MD
2023-00020318,03/02/23 21:00,03/02/23 21:16,Threat Assessment,Active/Pending,82  John S. Toll Physics Building  Physics  Physics Building at 4150  Campus  Dr College Park MD
2023-00020425,03/03/23 02:13,03/03/23 02:13,DWI/DUI,Arrest,College  Ave College Park MD
2023-00020622,03/03/23 14:50,03/03/23 14:50,Emergency Petition,CBE,Health Center at 3983  Campus  Dr College Park MD
2023-00020684,03/03/23 10:00,03/03/23 17:53,Extortion,Active/Pending,8600 block of  Boteler  Ln College Park MD
2023-00020759,03/03/23 20:30,03/03/23 22:11,Vandalism,Investigation Pending,Elkton  Elkton Hall at 3981  Denton Service  Ln College Park MD
2023-00020767,03/03/23 18:00,03/03/23 22:32,Hate Bias Incident,Active/Pending,3900 block of  Denton Service  Ln College Park MD
2023-00020772,03/03/23 22:43,03/03/23 22:43,DWI/DUI,Arrest,Commons 5  SCC 5  South Campus Commons 5 at 6903  Preinkert  Dr College Park MD
2023-00020788,03/03/23 23:55,03/04/23 00:03,Pedestrian Struck,Active/Pending,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00020810,03/04/23 02:02,03/04/23 02:02,Assist Other Agency / Other,CBE,8200 block of  Baltimore  Ave College Park MD
2023-00020812,03/04/23 02:09,03/04/23 02:09,Assault,Summons Issued,76  Symons Hall at 7998  Regents  Dr College Park MD
2023-00021047,03/04/23 00:00,03/04/23 20:45,Vandalism,Active/Pending,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00021065,03/04/23 23:00,03/04/23 23:00,Alcohol Violation,Arrest,4700 block of  Rossborough  Ln College Park MD
2023-00021100,03/04/23 22:00,03/05/23 01:32,Hate Bias Incident,Unfounded,Prince Frederick  Prince Frederick Hall at 7030  Preinkert  Dr College Park MD
2023-00021102,03/05/23 02:24,03/05/23 02:24,DWI/DUI,Arrest,Baltimore  Ave College Park MD
2023-00021120,03/05/23 02:00,03/05/23 05:05,Assist Other Agency / Other,CBE,4700 block of  Berwyn House  Rd College Park MD
2023-00021331,03/05/23 02:00,03/05/23 17:38,Hate Bias Incident,Active/Pending,Oakland  Oakland Hall at 3912  Denton Service  Ln College Park MD
2023-00021334,03/05/23 17:15,03/05/23 18:37,Theft,Investigation Pending,La Plata Hall at 8160  La Plata  Dr College Park MD
2023-00021357,03/05/23 21:53,03/05/23 21:58,Accident - Departmental,CBE,46  Marie Mount  Marie Mount Hall at 7814  Regents  Dr College Park MD
2023-00021433,03/06/23 02:30,03/06/23 02:30,DWI/DUI,Arrest,University  Blvd College Park MD
2023-00021514,02/24/23 13:00,03/06/23 09:24,Theft,Investigation Pending,7900 block of  Regents  Dr College Park MD
2023-00021519,03/06/23 09:35,03/06/23 09:35,Other Incident,CBE,7800 block of  Regents  Dr College Park MD
2023-00021571,03/04/23 18:52,03/06/23 11:36,Burglary,CBE,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00021584,03/06/23 12:20,03/06/23 12:30,Theft,Active/Pending,Denton  Denton Hall at 3854  Stadium  Dr College Park MD
2023-00021606,03/06/23 14:02,03/06/23 14:02,Injured/Sick Person,CBE,8400 block of  Baltimore  Ave College Park MD
2023-00021641,03/06/23 13:00,03/06/23 16:25,Check on the  Welfare,CBE,Commons 3  SCC 3  South Campus Commons 3 at 4318  Knox  Rd College Park MD
2023-00021676,03/06/23 20:00,03/06/23 21:39,Injured/Sick Person,CBE,4200 block of  Lehigh  Rd College Park MD
2023-00021692,03/06/23 21:46,03/06/23 23:19,Theft,Active/Pending,4  Ritchie Coliseum at 7675  Baltimore  Ave College Park MD
2023-00021703,03/07/23 00:11,03/07/23 00:11,Assist Other Agency / Theft,CBE,Mowatt  Ln College Park MD
